,Company_Name,Ratings,Company_Type,Total_Employees,Sector,Total_Years,Head_Quaters,Total_Review_Count,Avg_salaries,Avg_Interview,Avg_Jobs,Benifits
40,HSBC Group,4.1,Banking , 10k-50k Employees , Forbes Global 2000 , 21 years old , Pune +55 more,6.4k Reviews, 55.4k Salaries, 332 Interviews, 25  Jobs, 1.2k  Benefits
41,Mphasis,4.1,IT Services & Consulting , 10k-50k Employees , Public , 25 years old , Bangalore/Bengaluru +42 more,6.4k Reviews, 58.6k Salaries, 439 Interviews, 94  Jobs, 867  Benefits
42,PwC,4.1,Accounting & Auditing , 10k-50k Employees , Conglomerate , 143 years old , London +82 more,6.3k Reviews, 65.8k Salaries, 730 Interviews, 522  Jobs, 853  Benefits
43,Startek,4.1,BPO , 10k-50k Employees , Public , 6 years old , Mumbai +64 more,6.3k Reviews, 23.3k Salaries, 291 Interviews, 36  Jobs, 698  Benefits
44,HDFC Life,4.1,Insurance , 10k-50k Employees , Public , 23 years old , Mumbai +496 more,6.2k Reviews, 23.4k Salaries, 326 Interviews, 94  Jobs, 630  Benefits
45,Ericsson,4.1,10k-50k Employees , Forbes Global 2000 , 147 years old , Stockholm +142 more,,6.2k Reviews, 43.3k Salaries, 253 Interviews, 11  Jobs, 1k  Benefits
46,Maruti Suzuki,4.1,Automobile , 10k-50k Employees , Public , 42 years old , New Delhi +341 more,6.1k Reviews, 25.7k Salaries, 410 Interviews, 41  Jobs, 1.1k  Benefits
47,Yes Bank,4.1,Banking , 10k-50k Employees , Public , 19 years old , Mumbai +419 more,5.8k Reviews, 38.9k Salaries, 279 Interviews, 30  Jobs, 628  Benefits
48,Asian Paints,4.1,Chemicals , 5k-10k Employees , Public , 81 years old , Mumbai +386 more,5.8k Reviews, 20.6k Salaries, 421 Interviews, 119  Jobs, 901  Benefits
49,Dr. Reddy's,4.1,10k-50k Employees , Public , 39 years old , Hyderabad/Secunderabad +152 more,,5.7k Reviews, 23.5k Salaries, 246 Interviews, 93  Jobs, 881  Benefits
50,Cipla Pharmaceutical,4.1,Pharma , 10k-50k Employees , Public , 88 years old , Mumbai +219 more,5.7k Reviews, 23.4k Salaries, 330 Interviews, 24  Jobs, 882  Benefits
51,Sutherland Global Services,4.1,IT Services & Consulting , 10k-50k Employees , 37 years old , Pittsford +48 more,,5.6k Reviews, 26.3k Salaries, 326 Interviews, 181  Jobs, 934  Benefits
52,NTT DATA,4.1,IT Services & Consulting , 10k-50k Employees , 35 years old , Chiyoda City +47 more,,5.4k Reviews, 48.8k Salaries, 391 Interviews, 123  Jobs, 769  Benefits
53,EXL Service,4.1,Analytics & KPO , 10k-50k Employees , 24 years old , New York City +41 more,,5.3k Reviews, 32.5k Salaries, 403 Interviews, 459  Jobs, 842  Benefits
54,ICICI Prudential Life Insurance,4.1,Insurance , 10k-50k Employees , Public , 23 years old , Mumbai +433 more,5.3k Reviews, 21k Salaries, 262 Interviews, 266  Jobs, 630  Benefits
55,Jana Small Finance Bank,4.1,Banking , 10k-50k Employees , Public , 17 years old , Bangalore/Bengaluru +331 more,5.2k Reviews, 15.3k Salaries, 162 Interviews, 109  Jobs, 616  Benefits
56,UltraTech Cement,4.1,Building Material , 10k-50k Employees , Public , 40 years old , Mumbai +405 more,5.2k Reviews, 20.2k Salaries, 320 Interviews, 14  Jobs, 645  Benefits
57,Bandhan Bank,4.1,Banking , 50k-1 Lakh Employees , Public , 22 years old , Kolkata +686 more,5.2k Reviews, 18.2k Salaries, 330 Interviews, 23  Jobs, 530  Benefits
58,Paytm,4.1,FinTech , 10k-50k Employees , Public , 13 years old , Noida +285 more,5.2k Reviews, 27.5k Salaries, 389 Interviews, 591  Jobs, 578  Benefits
59,HCL Group,4.1,IT Services & Consulting , 1 Lakh+ Employees , 47 years old , Chennai +68 more,,5.1k Reviews, 70.3k Salaries, 258 Interviews, 1  Jobs, 688  Benefits
60,Lupin,4.1,Pharma , 10k-50k Employees , Public , 55 years old , Mumbai +154 more,5.1k Reviews, 21.5k Salaries, 229 Interviews, 22  Jobs, 813  Benefits
61,AU Small Finance Bank,4.1,Banking , 10k-50k Employees , Fortune India 500 , 27 years old , Jaipur +345 more,5k Reviews, 17.3k Salaries, 256 Interviews, 161  Jobs, 443  Benefits
62,Udaan,4.1,Internet , 1k-5k Employees , Indian Unicorn , 7 years old , Bangalore +328 more,5k Reviews, 19.1k Salaries, 283 Interviews, 289  Jobs, 786  Benefits
63, Bajaj Finance,4.1,NBFC , 10k-50k Employees , 36 years old , Pune +717 more,,5k Reviews, 19k Salaries, 205 Interviews, 102  Jobs, 513  Benefits
64,Indian Army,4.1,Defence & Aerospace , 1 Lakh+ Employees , Public , 128 years old , New Delhi +302 more,4.9k Reviews, 10.3k Salaries, 103 Interviews, --  Jobs, 752  Benefits
65,L&T Infotech,4.1,IT Services & Consulting , 10k-50k Employees , Public , 27 years old , Mumbai +74 more,4.9k Reviews, 67.1k Salaries, 382 Interviews, 138  Jobs, 876  Benefits
66,Zydus Lifesciences,4.1,Pharma , 10k-50k Employees , Public , 71 years old , Ahmedabad +139 more,4.8k Reviews, 16.8k Salaries, 196 Interviews, 52  Jobs, 675  Benefits
67,ITC,4.1,FMCG , 10k-50k Employees , Public , 48 years old , Kolkata +280 more,4.8k Reviews, 21.8k Salaries, 367 Interviews, 78  Jobs, 719  Benefits
68,Wells Fargo,4.1,Banking , 10k-50k Employees , Public , 171 years old , San Francisco +19 more,4.7k Reviews, 39.6k Salaries, 299 Interviews, 117  Jobs, 896  Benefits
69,JP Morgan Chase,4.1,Financial Services , 50k-1 Lakh Employees , Forbes Global 2000 , 23 years old , New York +32 more,4.7k Reviews, 59.2k Salaries, 372 Interviews, 1.1k  Jobs, 900  Benefits
70,Delhivery,4.1,10k-50k Employees , Fortune India 500 , 12 years old , Delhi +573 more,,4.6k Reviews, 15.8k Salaries, 276 Interviews, 424  Jobs, 656  Benefits
71,FIS,4.1,FinTech , 10k-50k Employees , 55 years old , Jacksonville +37 more,,4.6k Reviews, 37.1k Salaries, 281 Interviews, 69  Jobs, 780  Benefits
72,Hindustan Unilever ,4.1,FMCG , 10k-50k Employees , Public , 151 years old , London +403 more,4.6k Reviews, 20.6k Salaries, 225 Interviews, 192  Jobs, 685  Benefits
