,Company_Name,Ratings,Company_Type,Total_Employees,Sector,Total_Years,Head_Quaters,Total_Review_Count,Avg_salaries,Avg_Interview,Avg_Jobs,Benifits
148,Optum,4.1,Healthcare , 10k-50k Employees , 46 years old , Prairie +25 more,,2.9k Reviews, 21.1k Salaries, 246 Interviews, 23  Jobs, 564  Benefits
149,KEC International,4.1,Engineering & Construction , 5k-10k Employees , Public , 78 years old , Mumbai +251 more,2.9k Reviews, 10.3k Salaries, 183 Interviews, 5  Jobs, 450  Benefits
150,Equitas Small Finance Bank,4.1,Banking , 10k-50k Employees , Fortune India 500 , 16 years old , Chennai +325 more,2.9k Reviews, 11.2k Salaries, 100 Interviews, 5  Jobs, 390  Benefits
151,Nagarjuna Construction Company,4.1,Engineering & Construction , 5k-10k Employees , Public , 25 years old , Hyderabad/Secunderabad +203 more,2.9k Reviews, 10.1k Salaries, 183 Interviews, 3  Jobs, 412  Benefits
152,Aditya Birla Fashion and Retail,4.1,Retail , 10k-50k Employees , Fortune India 500 , 8 years old , Mumbai +214 more,2.9k Reviews, 11.5k Salaries, 103 Interviews, 50  Jobs, 425  Benefits
153,Viatris,4.1,Pharma , 10k-50k Employees , Forbes Global 2000 , 62 years old , Canonsburg +66 more,2.9k Reviews, 14.2k Salaries, 91 Interviews, 3  Jobs, 524  Benefits
154,Samvardhana Motherson Group,4.1,Auto Components , 1k-5k Employees , Public , 37 years old , Noida +71 more,2.8k Reviews, 13.9k Salaries, 153 Interviews, 59  Jobs, 414  Benefits
155,Muthoot Fincorp,4.1,NBFC , 10k-50k Employees , Conglomerate , 136 years old , Trivandrum/Thiruvananthapuram +512 more,2.8k Reviews, 7.7k Salaries, 85 Interviews, 68  Jobs, 283  Benefits
156,Godrej & Boyce Manufacturing,4.1,Engineering & Construction , 10k-50k Employees , Fortune India 500 , 126 years old , Mumbai +126 more,2.8k Reviews, 16.5k Salaries, 119 Interviews, 42  Jobs, 426  Benefits
157,Piramal Capital Housing Finance,4.1,NBFC , 1k-5k Employees , 3 years old , Mumbai +303 more,,2.8k Reviews, 8.7k Salaries, 121 Interviews, 21  Jobs, 271  Benefits
158,Royal Enfield,4.1,Automobile , 10k-50k Employees , 122 years old , Gurgaon/Gurugram +280 more,,2.8k Reviews, 14.1k Salaries, 96 Interviews, 11  Jobs, 415  Benefits
159,Tata Communications,4.1,Telecom , 5k-10k Employees , Public , 37 years old , Mumbai +84 more,2.8k Reviews, 21.3k Salaries, 161 Interviews, 410  Jobs, 430  Benefits
160,L&T Finance,4.0,NBFC , 10k-50k Employees , Public , 29 years old , Mumbai +446 more,2.8k Reviews, 10.5k Salaries, 72 Interviews, --  Jobs, 268  Benefits
161,John Deere,4.0,IT Services & Consulting , 5k-10k Employees , Fortune India 500 , 22 years old , Moline +111 more,2.8k Reviews, 13.3k Salaries, 142 Interviews, 13  Jobs, 430  Benefits
162,LG Electronics,4.0,Consumer Electronics & Appliances , 10k-50k Employees , Public , 65 years old , Seoul +230 more,2.8k Reviews, 10.1k Salaries, 138 Interviews, 6  Jobs, 413  Benefits
163,Intas Pharmaceuticals,4.0,Pharma , 10k-50k Employees , Fortune India 500 , 23 years old , Ahmedabad +109 more,2.7k Reviews, 14.1k Salaries, 129 Interviews, 58  Jobs, 397  Benefits
164,Whitehat jr,4.0,EdTech , 5k-10k Employees , Startup , 5 years old , Mumbai +49 more,2.7k Reviews, 9.4k Salaries, 278 Interviews, 514  Jobs, 972  Benefits
165,Thermax Limited,4.0,Industrial Machinery , 1k-5k Employees , Public , 57 years old , Pune +158 more,2.7k Reviews, 11.6k Salaries, 142 Interviews, 21  Jobs, 380  Benefits
166,Varun Beverages,4.0,Beverage , 5k-10k Employees , Public , 28 years old , Gurgaon/Gurugram +251 more,2.7k Reviews, 9k Salaries, 130 Interviews, 53  Jobs, 331  Benefits
167,Hetero Drugs,4.0,Pharma , 1k-5k Employees , 30 years old , Hyderabad/Secunderabad +37 more,,2.6k Reviews, 13.3k Salaries, 138 Interviews, 22  Jobs, 340  Benefits
168,Ford Motor,4.0,Automobile , 5k-10k Employees , Public , 120 years old , Dearborn +104 more,2.6k Reviews, 14k Salaries, 73 Interviews, 58  Jobs, 397  Benefits
169,Deutsche Bank,4.0,Banking , 10k-50k Employees , Fortune India 500 , 153 years old , Frankfurt +34 more,2.6k Reviews, 28.4k Salaries, 200 Interviews, 732  Jobs, 414  Benefits
170,Sodexo,4.0,Facility Management Services , 10k-50k Employees , Forbes Global 2000 , 15 years old , Issy les Moulineaux +124 more,2.6k Reviews, 9.7k Salaries, 93 Interviews, 87  Jobs, 380  Benefits
171,Randstad,4.0,1k-5k Employees , Conglomerate , 31 years old , Chennai +233 more,,2.6k Reviews, 12.5k Salaries, 159 Interviews, 2.3k  Jobs, 341  Benefits
172,Abbott Healthcare,4.0,Pharma , 10k-50k Employees , Public , 32 years old , Illinois City +165 more,2.6k Reviews, 10.4k Salaries, 98 Interviews, 120  Jobs, 377  Benefits
173,Subros,4.0,Auto Components , 1k-5k Employees , Public , 38 years old , Noida +49 more,2.6k Reviews, 12.2k Salaries, 102 Interviews, 1  Jobs, 402  Benefits
174,Havells,4.0,Electrical Equipment , 5k-10k Employees , Public , 40 years old , Noida +164 more,2.6k Reviews, 11.7k Salaries, 119 Interviews, 83  Jobs, 328  Benefits
175,Macleods Pharmaceuticals,4.0,Pharma , 10k-50k Employees , Public , 37 years old , Mumbai +86 more,2.6k Reviews, 12.9k Salaries, 107 Interviews, 15  Jobs, 364  Benefits
176,UnitedHealth,4.0,Healthcare , 10k-50k Employees , Forbes Global 2000 , 46 years old , Minnetonka +14 more,2.6k Reviews, 23.2k Salaries, 62 Interviews, 10  Jobs, 438  Benefits
177,VE Commercial Vehicles,4.0,Automobile , 1k-5k Employees , 15 years old , Gurgaon/Gurugram +121 more,,2.6k Reviews, 12k Salaries, 128 Interviews, 2  Jobs, 370  Benefits
178,American Express,4.0,Financial Services , 10k-50k Employees , Forbes Global 2000 , 173 years old , New York City +40 more,2.5k Reviews, 18.6k Salaries, 203 Interviews, 113  Jobs, 446  Benefits
179,CARS24 ,4.0,Internet , 5k-10k Employees , Indian Unicorn , 8 years old , Gurgaon +142 more,2.5k Reviews, 11.4k Salaries, 204 Interviews, 318  Jobs, 419  Benefits
180,Automatic Data Processing (ADP),4.1,IT Services & Consulting , 10k-50k Employees , Forbes Global 2000 , 74 years old , New Jersey +20 more,2.5k Reviews, 19k Salaries, 133 Interviews, 35  Jobs, 474  Benefits
181,Persistent Systems,4.1,IT Services & Consulting , 10k-50k Employees , Public , 33 years old , Pune +24 more,2.5k Reviews, 26.9k Salaries, 283 Interviews, 45  Jobs, 400  Benefits
182,Team Lease,4.1,Recruitment , 1k-5k Employees , Public , 7 years old , Bangalore/Bengaluru +273 more,2.5k Reviews, 13.5k Salaries, 122 Interviews, 244  Jobs, 224  Benefits
183,Pidilite Industries,4.1,Chemicals , 5k-10k Employees , Public , 64 years old , Mumbai +213 more,2.5k Reviews, 8.7k Salaries, 122 Interviews, 31  Jobs, 369  Benefits
184,Cgi Group,4.1,IT Services & Consulting , 10k-50k Employees , Forbes Global 2000 , 47 years old , Montreal +18 more,2.5k Reviews, 29.8k Salaries, 153 Interviews, 149  Jobs, 412  Benefits
185,Atos,4.1,IT Services & Consulting , 201-500 Employees , Forbes Global 2000 , 26 years old , Vilnius +37 more,2.4k Reviews, 25.8k Salaries, 170 Interviews, 6  Jobs, 359  Benefits
186,Bharat Electronics,4.1,Consumer Electronics & Appliances , 5k-10k Employees , Fortune India 500 , 69 years old , Bangalore/Bengaluru +41 more,2.4k Reviews, 11.2k Salaries, 141 Interviews, --  Jobs, 324  Benefits
187,Alkem Laboratories,4.1,Pharma , 10k-50k Employees , Public , 50 years old , Mumbai +141 more,2.4k Reviews, 8.7k Salaries, 108 Interviews, 20  Jobs, 347  Benefits
188,Alembic Pharmaceuticals,4.1,Pharma , 10k-50k Employees , Public , 116 years old , Vadodara/Baroda +132 more,2.4k Reviews, 12.8k Salaries, 143 Interviews, 61  Jobs, 395  Benefits
189, Publicis Sapient,4.1,IT Services & Consulting , 10k-50k Employees , 33 years old , New York +19 more,,2.4k Reviews, 24.7k Salaries, 292 Interviews, 188  Jobs, 411  Benefits
190,Indian Air Force,4.1,Defence & Aerospace , 1 Lakh+ Employees , 91 years old , New Delhi +108 more,,2.4k Reviews, 5.1k Salaries, 30 Interviews, --  Jobs, 374  Benefits
191,Hindalco Industries,4.1,Metals & Mining , 10k-50k Employees , Public , 65 years old , Mumbai +76 more,2.4k Reviews, 9.3k Salaries, 115 Interviews, 5  Jobs, 339  Benefits
192,Wipro Infotech,4.1,IT Services & Consulting , 1 Lakh+ Employees (Global) , MNC , 78 years old , Bangalore +116 more,2.4k Reviews, 18.6k Salaries, 100 Interviews, --  Jobs, 294  Benefits
193,Hindustan Coca Cola Beverages,4.1,Beverage , 5k-10k Employees , 26 years old , Bangalore +197 more,,2.4k Reviews, 7.1k Salaries, 80 Interviews, 77  Jobs, 384  Benefits
194,DCB Bank,4.1,Banking , 5k-10k Employees , Fortune India 500 , 93 years old , Mumbai +292 more,2.4k Reviews, 8.4k Salaries, 118 Interviews, 41  Jobs, 252  Benefits
195, Wipro Consumer Care & Lighting,4.1,FMCG , 1k-5k Employees , 78 years old , Bangalore/Bengaluru +88 more,,2.4k Reviews, 2.7k Salaries, 40 Interviews, 31  Jobs, 283  Benefits
196,Access Healthcare,4.1,IT Services & Consulting , 5k-10k Employees , 12 years old , Dallas +25 more,,2.4k Reviews, 16.7k Salaries, 129 Interviews, 71  Jobs, 281  Benefits
197,Vishal Mega Mart,4.1,Retail , 10k-50k Employees , 15 years old , Gurgaon/Gurugram +301 more,,2.4k Reviews, 6.6k Salaries, 107 Interviews, 10  Jobs, 275  Benefits
198,R1 RCM,4.1,BPO , 5k-10k Employees , 20 years old , Murray +23 more,,2.4k Reviews, 14.3k Salaries, 173 Interviews, 32  Jobs, 367  Benefits
199,ABB Group,4.1,Electrical Equipment , 1k-5k Employees , Public , 35 years old , Zurich +92 more,2.3k Reviews, 14.5k Salaries, 119 Interviews, --  Jobs, 352  Benefits
